NORAD_CAT_ID_1,OBJECT_NAME_1,DSE_1,NORAD_CAT_ID_2,OBJECT_NAME_2,DSE_2,TCA,TCA_RANGE,TCA_RELATIVE_SPEED,MAX_PROB,DILUTION
54078,"STARLINK-5138 [+]",1.815,18214,"COSMOS 1869 [?]",2.119,"2023-11-10 15:30:57.946",2.329,13.648,0.000003889,1.034
54078,"STARLINK-5138 [+]",2.481,46915,"PSLV R/B [-]",2.774,"2023-11-11 07:30:29.752",2.394,10.447,0.000005276,0.742
54078,"STARLINK-5138 [+]",4.245,57206,"OBJECT AS [+]",4.278,"2023-11-13 01:51:04.121",0.194,14.561,0.0004531,0.107
54078,"STARLINK-5138 [+]",6.102,57206,"OBJECT AS [+]",6.135,"2023-11-14 22:25:22.350",0.015,14.345,0.07823,0.008
