NORAD_CAT_ID_1,OBJECT_NAME_1,DSE_1,NORAD_CAT_ID_2,OBJECT_NAME_2,DSE_2,TCA,TCA_RANGE,TCA_RELATIVE_SPEED,MAX_PROB,DILUTION
52702,"STARLINK-4033 [+]",2.568,9821,"COSMOS 886 DEB [-]",2.525,"2023-11-11 00:56:28.895",0.009,7.595,0.3007,0.002
54078,"STARLINK-5138 [+]",6.102,57206,"OBJECT AS [+]",6.135,"2023-11-14 22:25:22.350",0.015,14.345,0.07823,0.008
53420,"STARLINK-4552 [+]",6.243,57038,"OBJECT AL [+]",6.17,"2023-11-14 17:41:56.390",0.031,12.478,0.02583,0.012
55393,"STARLINK-4786 [+]",1.376,89067,"UNKNOWN [-]",1.938,"2023-11-09 23:16:12.066",0.045,1.91,0.01887,0.011
46699,"STARLINK-1799 [+]",6.777,40038,"FLOCK 1C-5 [-]",7.008,"2023-11-15 11:22:43.098",0.039,14.224,0.009667,0.02
53801,"STARLINK-4715 [+]",2.014,48427,"CZ-2C R/B [-]",3.105,"2023-11-10 12:42:05.753",0.066,5.92,0.008424,0.017
55595,"STARLINK-5740 [+]",1.425,20453,"DELTA 2 R/B(1) [-]",1.6,"2023-11-10 03:22:49.280",0.107,9.145,0.005566,0.031
52575,"STARLINK-3920 [+]",5.853,56442,"TROPICS-05 [+]",5.897,"2023-11-14 08:38:42.420",0.081,6.292,0.005484,0.021
52616,"STARLINK-4015 [+]",1.802,57200,"OBJECT AL [+]",1.485,"2023-11-10 07:26:28.548",0.067,13.194,0.005094,0.027
45394,"STARLINK-1292 [+]",6.872,47607,"STARLINK-2025 [P]",7.159,"2023-11-15 06:33:44.525",0.129,11.403,0.00466,0.043
53589,"STARLINK-4673 [+]",2.627,34744,"COSMOS 2251 DEB [-]",2.212,"2023-11-10 19:18:17.277",0.091,4.377,0.004545,0.022
47141,"STARLINK-1854 [+]",2.377,32787,"COMPASS-1 [-]",1.771,"2023-11-10 06:06:33.588",0.067,13.862,0.00444,0.031
52665,"STARLINK-4064 [+]",1.162,9704,"SL-8 DEB [-]",1.228,"2023-11-09 13:53:39.021",0.105,2.82,0.003551,0.025
47907,"STARLINK-2367 [+]",1.959,51953,"OBJECT H [-]",1.726,"2023-11-10 11:55:57.897",0.083,12.884,0.00342,0.033
55340,"STARLINK-5675 [+]",6.137,35655,"COSMOS 2251 DEB [-]",10.03,"2023-11-14 10:08:02.057",0.106,5.759,0.003304,0.027
48008,"STARLINK-2271 [+]",3.563,20673,"COSMOS 886 DEB [-]",3.703,"2023-11-12 06:50:04.063",0.11,8.938,0.002714,0.031
52371,"STARLINK-3798 [+]",1.722,56752,"ELECTRON KICK STAGE R/B [-]",2.742,"2023-11-10 05:53:20.369",0.107,10.353,0.002661,0.033
50182,"STARLINK-3277 [+]",5.511,42830,"OBJECT F [-]",5.719,"2023-11-14 05:52:23.199",0.111,9.514,0.002594,0.032
55667,"STARLINK-5456 [+]",1.299,22329,"SL-16 DEB [-]",1.688,"2023-11-10 02:50:31.135",0.086,14.226,0.002524,0.043
55705,"STARLINK-30057 [P]",3.808,55709,"STARLINK-30047 [P]",3.809,"2023-11-11 20:46:31.914",0.479,0.001,0.001905,0.114
55705,"STARLINK-30057 [P]",3.786,55709,"STARLINK-30047 [P]",3.787,"2023-11-11 20:14:57.577",0.697,0.001,0.001905,0.114
48107,"STARLINK-2443 [+]",6.815,56995,"AAC-HSI-SAT2 [+]",6.493,"2023-11-15 06:17:32.695",0.125,11.018,0.001837,0.041
55340,"STARLINK-5675 [+]",0.95,57192,"SITRO-AIS 6 (CHIRKIN) [+]",0.473,"2023-11-09 05:37:53.703",0.116,12.637,0.001836,0.044
46557,"STARLINK-1679 [+]",4.373,21836,"DMSP 5D-2 F11 DEB [-]",4.267,"2023-11-12 21:08:07.029",0.094,14.723,0.001812,0.055
55610,"STARLINK-5722 [+]",3.551,41337,"ASTRO-H (HITOMI) [-]",3.464,"2023-11-11 23:03:08.089",0.139,7.853,0.001802,0.037
44945,"STARLINK-1109 [+]",6.811,43788,"FLOCK 3S-3 [-]",6.643,"2023-11-14 18:20:35.972",0.095,14.082,0.001714,0.046
49438,"STARLINK-3044 [+]",6.713,51285,"CZ-4C R/B [-]",6.452,"2023-11-15 06:51:42.948",0.146,7.813,0.001627,0.039
48674,"STARLINK-2712 [+]",1.162,27629,"SL-14 DEB [-]",1.663,"2023-11-09 23:00:49.533",0.112,14.04,0.001544,0.054
51894,"STARLINK-3595 [+]",5.381,30637,"FENGYUN 1C DEB [-]",5.191,"2023-11-13 13:06:11.679",0.133,11.838,0.001517,0.046
55304,"STARLINK-5318 [+]",7.249,33315,"RAPIDEYE 3 [-]",7.708,"2023-11-15 19:29:49.824",0.165,4.057,0.00141,0.04
55954,"STARLINK-5892 [+]",1.653,43810,"OBJECT BE [-]",1.181,"2023-11-09 21:03:00.234",0.133,13.113,0.001282,0.055
46129,"STARLINK-1623 [+]",5.88,22495,"SL-16 DEB [-]",5.897,"2023-11-14 10:32:28.203",0.143,12.419,0.001228,0.053
