NORAD_CAT_ID_1,OBJECT_NAME_1,DSE_1,NORAD_CAT_ID_2,OBJECT_NAME_2,DSE_2,TCA,TCA_RANGE,TCA_RELATIVE_SPEED,MAX_PROB,DILUTION
55397,"STARLINK-5224 [+]",4.331,57386,"STARLING 4 [+]",4.552,"2023-11-12 21:56:22.765",3.173,10.574,0.000002971,0.994
54023,"OTB-3-GAZELLE [+]",4.213,36614,"COSMOS 2251 DEB [-]",4.894,"2023-11-12 18:40:11.415",3.173,13.985,0.0000002052,1.598
53476,"STARLINK-4378 [+]",5.976,35461,"COSMOS 2251 DEB [-]",28.474,"2023-11-14 06:34:11.277",3.173,14.973,0.000001432,2.061
53003,"STARLINK-4255 [+]",4.556,57020,"OBJECT S [+]",4.479,"2023-11-13 07:21:08.908",3.173,13.137,0.000002277,1.296
52856,"STARLINK-4201 [+]",6.616,57395,"ORBCOMM FM36 DEB [-]",24.024,"2023-11-14 20:51:30.147",3.173,9.721,0.000003149,0.937
51734,"STARLINK-3450 [+]",5.692,28855,"PSLV DEB [-]",9.247,"2023-11-14 11:55:23.021",3.173,14.626,0.000001648,1.79
46709,"STARLINK-1810 [+]",4.436,57044,"OBJECT AS [+]",4.1,"2023-11-12 21:58:32.323",3.173,7.535,0.000003486,0.847
46337,"STARLINK-1750 [+]",1.25,57193,"SITRO-AIS 8 (ANOKHIN) [+]",0.573,"2023-11-09 09:30:50.046",3.173,14.08,0.000001906,1.549
45380,"STARLINK-1207 [+]",6.806,57196,"HORS 2 [+]",6.483,"2023-11-15 06:13:36.239",3.173,6.556,0.000003604,0.819
43772,"RANGE-A [+]",6.59,56916,"STARLINK-5973 [+]",6.189,"2023-11-14 17:14:39.811",3.173,7.849,0.0000003829,0.857
43262,"GAOFEN-1 04 [+]",0.876,41303,"NOAA 16 DEB [-]",2.707,"2023-11-09 16:21:37.593",3.173,14.879,0.0000001612,2.034
43194,"ZHANGHENG 1 (CSES) [+]",6.934,57454,"YAOGAN-36 05B [+]",7.353,"2023-11-15 17:58:40.526",3.173,13.395,0.0000002454,1.336
43187,"S-NET B [+]",1.141,56112,"STARLINK-6080 [+]",0.683,"2023-11-09 09:09:44.521",3.173,12.363,0.000002528,1.167
32788,"AAUSAT-II [P]",1.583,46574,"STARLINK-1660 [+]",1.909,"2023-11-10 10:01:24.770",3.173,10.957,0.000002887,1.022
28470,"JB-3 3 (ZY 2C) [+]",6.265,55345,"STARLINK-5653 [+]",6.165,"2023-11-14 17:57:12.884",3.173,9.283,0.000003221,0.916
28220,"SHIYAN 1 (SY-1) [+]",2.715,47895,"STARLINK-2355 [+]",3.027,"2023-11-11 12:16:02.203",3.173,14.37,0.000001772,1.665
