NORAD_CAT_ID_1,OBJECT_NAME_1,DSE_1,NORAD_CAT_ID_2,OBJECT_NAME_2,DSE_2,TCA,TCA_RANGE,TCA_RELATIVE_SPEED,MAX_PROB,DILUTION
57193,"SITRO-AIS 8 (ANOKHIN) [+]",2.293,13771,"SL-3 R/B [-]",2.969,"2023-11-11 02:48:13.338",3.172,15.173,0.0000004009,2.244
39490,"COSMOS 2493 (SKRL-756 1) [+]",4.709,32784,"NTS (CANX-6) [-]",4.714,"2023-11-13 12:34:55.263",3.172,15.124,0.0000001464,2.24
39090,"STRAND-1 [+]",1.603,14154,"HILAT [?]",1.544,"2023-11-10 01:57:57.763",3.167,14.919,0.0000001467,2.239
45162,"ONEWEB-0059 [+]",2.834,19954,"OPS 4682 DEB [-]",3.556,"2023-11-11 02:12:28.495",3.17,14.498,0.0000004755,2.237
40298,"ASNARO [+]",2.549,16719,"COSMOS 1743 [?]",2.482,"2023-11-11 07:28:48.994",3.161,15.189,0.0000001473,2.235
39491,"COSMOS 2494 (SKRL-756 2) [+]",7.058,26193,"CZ-4B DEB [-]",7.4,"2023-11-15 20:34:14.463",3.158,15.156,0.0000001476,2.232
45162,"ONEWEB-0059 [+]",2.758,19954,"OPS 4682 DEB [-]",3.48,"2023-11-11 00:22:14.579",3.159,14.498,0.0000004785,2.23
43711,"SHIYAN 6 01 (SY-6 01) [+]",0.343,52517,"COSMOS 1408 DEB [-]",2.307,"2023-11-09 03:04:19.703",3.151,15.364,0.0000001482,2.228
40697,"SENTINEL-2A [+]",2.676,4420,"SL-3 R/B [-]",3.205,"2023-11-11 10:47:31.945",3.153,14.95,0.0000004064,2.227
39491,"COSMOS 2494 (SKRL-756 2) [+]",2.754,33500,"H-2A R/B [-]",3.111,"2023-11-11 13:17:18.358",3.149,15.127,0.0000001484,2.227
56360,"STARLINK-5549 [+]",4.048,39927,"PEGASUS DEB [-]",4.79,"2023-11-12 15:33:36.340",3.171,15.113,0.000001326,2.227
