OBJECT_NAME_1,OBJECT_NAME_2,MAX_PROB,OperationalStatus_1,OperationalStatus_2
"OBJECT A [+]","OBJECT D [+]",0.0003709,+],+]
"OBJECT A [+]","OBJECT D [+]",0.0003709,+],+]
"OBJECT A [+]","OBJECT D [+]",0.0003709,+],+]
"OBJECT A [+]","OBJECT D [+]",0.0003709,+],+]
"OBJECT A [+]","OBJECT D [+]",0.0003709,+],+]
"STARLINK-4073 [+]","NEUSAR [+]",0.0003546,+],+]
"DUCHIFAT-3 [+]","STARLINK-4258 [+]",0.0003499,+],+]
"STRIX-BETA [+]","STARLINK-5425 [+]",0.0003445,+],+]
"STARLINK-1221 [+]","KSM1-D [+]",0.0003338,+],+]
"STARLINK-3635 [+]","OBJECT AM [+]",0.0003141,+],+]
"STARLINK-3856 [+]","TROPICS-05 [+]",0.0003094,+],+]
"LEMUR-2-ZACHARY [+]","CSC-1 [+]",0.0003083,+],+]
"ICEYE-X5 [+]","STARLINK-3704 [+]",0.0003038,+],+]
"EXCITE [+]","STARLINK-5328 [+]",0.0002898,+],+]
"ARIRANG-5 (KOMPSAT-5) [+]","STARLINK-5569 [+]",0.0002882,+],+]
"POLAR SCOUT KODIAK [+]","STARLINK-3112 [+]",0.0002881,+],+]
"LEMUR-2-THENICKMOLO [+]","STARLINK-4135 [+]",0.0002795,+],+]
"STARLINK-1391 [+]","DEKART [+]",0.0002763,+],+]
"LEMUR-2-GREENBERG [+]","STARLINK-4371 [+]",0.0002758,+],+]
"STRIX-BETA [+]","STARLINK-5425 [+]",0.0002745,+],+]
"STARLINK-3262 [+]","NEUSAR [+]",0.0002685,+],+]
"STARLINK-5677 [+]","OBJECT R [+]",0.0002678,+],+]
"STARLINK-1828 [+]","OBJECT J [+]",0.0002568,+],+]
"STRIX-BETA [+]","STARLINK-4206 [+]",0.0002451,+],+]
"STARLINK-3818 [+]","OBJECT AB [+]",0.0002428,+],+]
"SEAHAWK-1 [+]","STARLINK-30113 [+]",0.0002427,+],+]
"NETSAT-4 [+]","STARLINK-2599 [+]",0.0002273,+],+]
"PROMETHEUS 2-3 [+]","STARLINK-1575 [+]",0.0002261,+],+]
"LEMUR-2-NATALIEMURRAY [+]","STARLINK-4682 [+]",0.0002212,+],+]
"MINXSS-2 [+]","STARLINK-1309 [+]",0.0002204,+],+]
"LEMUR-2-THENICKMOLO [+]","STARLINK-3880 [+]",0.0002198,+],+]
"STARLINK-2557 [+]","CSTP 1.2 (STC 1.2) [+]",0.0002188,+],+]
"QB50P1 [+]","STARLINK-5854 [+]",0.0002152,+],+]
"BY70-2 [+]","STARLINK-5583 [+]",0.0002107,+],+]
"STARLINK-5009 [+]","OBJECT AS [+]",0.0002095,+],+]
"STARLINK-3635 [+]","OBJECT AR [+]",0.0002073,+],+]
"STARLINK-2441 [+]","SITRO-AIS 9 (SHCHUKIN) [+]",0.0002069,+],+]
"STARLINK-4069 [+]","OBJECT V [+]",0.0002063,+],+]
"NETSAT-4 [+]","STARLINK-4051 [+]",0.0002047,+],+]
"JILIN-1 GAOFEN 03D13 [+]","JILIN-1 GAOFEN 3D06 [+]",0.0002041,+],+]
"STARLINK-3766 [+]","OBJECT P [+]",0.0002018,+],+]
"SHIJIAN-6 02A (SJ-6 02A) [+]","STARLINK-4427 [+]",0.0001995,+],+]
"STARLINK-2609 [+]","KUZGTU 1 (RS47S) [+]",0.0001935,+],+]
"STARLINK-3762 [+]","OBJECT AD [+]",0.0001908,+],+]
"STARLINK-3301 [+]","OBJECT P [+]",0.0001877,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
"OBJECT B [+]","OBJECT D [+]",0.0001785,+],+]
