NORAD_CAT_ID_1,OBJECT_NAME_1,NORAD_CAT_ID_2,OBJECT_NAME_2,CONJUCTION_COUNT
49049,"TIANHUI 1-04 [+]",54374,"YAOGAN-36 03B [+]",6
47901,"STARLINK-2361 [+]",41339,"CHUBUSAT-3 [-]",6
57857,"STARLINK-30424 [+]",48253,"OBJECT F [-]",6
46267,"TYVAK-0172 [+]",55932,"STARLINK-5848 [+]",6
43792,"ESEO [+]",55657,"STARLINK-5328 [+]",6
57840,"STARLINK-30285 [+]",48513,"RESURS O1 DEB [-]",6
56521,"STARLINK-6333 [+]",39450,"SL-24 DEB [-]",5
46699,"STARLINK-1799 [+]",40038,"FLOCK 1C-5 [-]",5
44859,"IHOPSAT-TD [+]",57088,"STARLINK-6257 [+]",5
43679,"STARS-AO [+]",54228,"ELECTRON KICK STAGE R/B [-]",5
47161,"STARLINK-1876 [+]",30637,"FENGYUN 1C DEB [-]",5
48268,"PLEIADES NEO 3 [+]",40073,"DUMMY SAT [-]",5
46913,"R2 [+]",48655,"STARLINK-2657 [+]",5
44874,"CHEOPS [+]",35809,"IRIDIUM 33 DEB [-]",5
56943,"NUSAT-40 (C SHOEMAKER) [+]",16881,"COSMOS 1766 [?]",5
46034,"STARLINK-1557 [+]",57325,"OBJECT AZ [-]",5
57194,"SITRO-AIS 7 (FARTUSHNIY) [+]",57907,"STARLINK-30482 [+]",5
37168,"SBSS (USA 216) [+]",43261,"CZ-4C DEB [-]",5
47487,"ASTROCAST-0103 [+]",55026,"FLOCK 4Y-19 [+]",5
47510,"ICEYE-X8 [+]",56186,"GHGSAT-C8 [+]",5
39073,"GLOBALSTAR M093 [+]",24729,"GONETS-D1 5 [-]",5
55350,"STARLINK-5668 [+]",41337,"ASTRO-H (HITOMI) [-]",5
52024,"SPACEBEE-113 [+]",52517,"COSMOS 1408 DEB [-]",5
56361,"STARLINK-5550 [+]",49318,"OBJECT D [?]",5
53282,"STARLINK-4164 [+]",28855,"PSLV DEB [-]",5
53887,"STARLINK-5029 [+]",57208,"SITRO-AIS 11 (SHEFFER) [+]",5
57813,"STARLINK-30403 [+]",36290,"CZ-4B DEB [-]",5
55015,"BIRKELAND [+]",15331,"COSMOS 1602 [?]",5
46495,"SALSAT [+]",53826,"STARLINK-4756 [+]",5
42959,"IRIDIUM 119 [+]",33942,"COSMOS 2251 DEB [-]",5
43679,"STARS-AO [+]",55644,"STARLINK-5502 [+]",5
56291,"STARLINK-30113 [+]",29753,"FENGYUN 1C DEB [-]",5
46907,"KSM1-D [+]",47979,"STARLINK-2325 [+]",5
56213,"SAPLING GIGANTEUM [+]",58048,"STARLINK-30554 [+]",5
56353,"STARLINK-5874 [+]",49318,"OBJECT D [?]",5
57186,"CSTP 1.2 (STC 1.2) [+]",57196,"HORS 2 [+]",5
40069,"METEOR-M 2 [P]",57794,"TIANQI-23 [+]",5
46544,"STARLINK-1694 [+]",47607,"STARLINK-2025 [P]",5
52477,"STARLINK-3860 [+]",56743,"NEXTSAT-2 [+]",4
43817,"SPACEBEE-5 [+]",47685,"FLOCK 4S-47 [+]",4
39490,"COSMOS 2493 (SKRL-756 1) [+]",32784,"NTS (CANX-6) [-]",4
48041,"BCCSAT-1 [+]",48953,"ARTHUR-1 [+]",4
55954,"STARLINK-5892 [+]",31417,"FENGYUN 1C DEB [-]",4
43876,"KANOPUS-V 5 [+]",55045,"NUSAT-34 (AMELIA EARHART) [+]",4
44859,"IHOPSAT-TD [+]",54836,"STARLINK-5384 [+]",4
43677,"TEN-KOH [+]",40022,"PACE [-]",4
51151,"STARLINK-3361 [+]",57201,"SITRO-AIS 9 (SHCHUKIN) [+]",4
46384,"STARLINK-1771 [+]",57206,"OBJECT AS [+]",4
43764,"POLAR SCOUT KODIAK [+]",54202,"STARLINK-5205 [+]",4
47607,"STARLINK-2025 [P]",47824,"STARLINK-2409 [+]",4
51722,"STARLINK-3535 [+]",43789,"IRVINE02 [-]",4
46506,"NETSAT-1 [+]",52370,"STARLINK-3827 [+]",4
47607,"STARLINK-2025 [P]",47994,"STARLINK-2290 [+]",4
43182,"LEMUR-2-JIN-LUEN [+]",54012,"STARLINK-5126 [+]",4
52763,"SHERPA-AC1 [+]",16881,"COSMOS 1766 [?]",4
52641,"STARLINK-3991 [+]",43406,"CZ-2D DEB [-]",4
54799,"STARLINK-5421 [+]",9704,"SL-8 DEB [-]",4
39019,"PLEIADES 1B [+]",35387,"CBERS 1 DEB [-]",4
46457,"JILIN-1 GAOFEN 3E [+]",49529,"COSMOS 1408 DEB [-]",4
52161,"ARCSAT-1 [+]",54368,"ASTROCAST-0303 [+]",4
51747,"STARLINK-3446 [+]",56746,"OBJECT D [+]",4
46278,"GHGSAT-C1 [+]",52759,"ICEYE-X20 [+]",4
43782,"SNUSAT-2 [+]",57127,"STARLINK-6165 [+]",4
58072,"STARLINK-30506 [+]",43844,"OBJECT P [-]",4
56165,"CHECKMATE 6 [+]",20902,"CZ-4 DEB [-]",4
57205,"ARCCUBE 1 (RS25S) [+]",35066,"COSMOS 2251 DEB [-]",4
38709,"EXACTVIEW-1 (ADS-1B) [+]",25394,"RESURS O1-N4 [?]",4
46759,"STARLINK-1833 [+]",8757,"SL-8 DEB [-]",4
49730,"STARLINK-3249 [+]",9704,"SL-8 DEB [-]",4
40014,"BUGSAT-1 (TITA) [+]",53058,"STARLINK-4317 [+]",4
43619,"NOVASAR 1 [+]",48269,"LEMUR-2-AMANDA-SVANTE [+]",4
47607,"STARLINK-2025 [P]",48094,"STARLINK-2412 [+]",4
53501,"STARLINK-4434 [+]",24682,"PEGASUS DEB [-]",4
53807,"BLUEWALKER 3 [+]",28738,"CZ-2D R/B [-]",4
28220,"SHIYAN 1 (SY-1) [+]",53889,"STARLINK-5031 [+]",4
42847,"CORVUS BC1 [+]",56774,"STARLINK-6190 [+]",4
41173,"DAMPE [+]",55075,"FLOCK 4Y-31 [+]",4
42901,"VENUS [+]",53087,"STARLINK-4329 [+]",4
56296,"STARLINK-30089 [P]",56394,"STARLINK-6305 [+]",4
43152,"ASNARO-2 [+]",43877,"KANOPUS-V 6 [+]",4
46504,"NETSAT-4 [+]",52682,"STARLINK-4017 [+]",4
54685,"DONGPO 09 [+]",16791,"COSMOS 1758 [?]",4
56115,"STARLINK-6101 [+]",56192,"ION SCV-010 [+]",4
52401,"SPACEBEE-142 [+]",53371,"OBJECT B [+]",4
49401,"DRUMS [+]",53832,"STARLINK-4747 [+]",4
40298,"ASNARO [+]",55084,"GAMA-ALPHA [+]",4
43075,"IRIDIUM 134 [+]",48702,"NOAA 17 DEB [-]",4
41885,"CYGFM04 [X]",48955,"ASTROCAST-0203 [+]",4
57184,"MONITOR-2 (RS39S) [+]",57909,"STARLINK-30463 [+]",4
42901,"VENUS [+]",55332,"STARLINK-5491 [+]",4
46280,"TRISAT [+]",56187,"LEMUR-2-SPACEGUS [+]",4
56463,"STARLINK-6051 [+]",39421,"UNISAT-5 [-]",4
52390,"JILIN-1 GAOFEN 3D05 [+]",57970,"STARLINK-30494 [+]",4
40536,"KOMPSAT-3A [+]",56994,"OBJECT BW [-]",4
52399,"SPACEBEE-140 [+]",53381,"ISOI (RS19S) [+]",4
45730,"STARLINK-1461 [+]",25978,"CLEMENTINE [-]",4
48960,"ASTROCAST-0205 [+]",12785,"COSMOS 1300 [?]",4
56407,"STARLINK-6282 [+]",17233,"ARIANE 1 DEB [-]",4
43808,"POLAR SCOUT YUKON [+]",56518,"STARLINK-5346 [+]",4
43780,"MOVE-II [+]",53913,"STARLINK-5053 [+]",4
45758,"STARLINK-1487 [P]",47955,"KEPLER-6 (ROCINANTE) [+]",4
46914,"KSM1-B [+]",47804,"STARLINK-2385 [+]",4
48034,"STARLINK-2288 [+]",57173,"OBJECT H [+]",4
46912,"KSM1-A [+]",47791,"STARLINK-2322 [+]",4
43764,"POLAR SCOUT KODIAK [+]",54059,"STARLINK-5173 [+]",4
52775,"GUARDIAN [+]",26365,"SIMSAT 1 [?]",4
44390,"ICEYE-X4 [+]",57451,"STARLINK-30216 [+]",4
43787,"KAZSCISAT-1 [+]",45700,"STARLINK-1400 [+]",4
57757,"BB4 [+]",30173,"FENGYUN 1C DEB [-]",4
45857,"BY70-2 [+]",55668,"STARLINK-5455 [+]",4
40037,"PERSEUS-M2 [+]",32363,"FENGYUN 1C DEB [-]",4
46554,"STARLINK-1671 [+]",56192,"ION SCV-010 [+]",4
53918,"STARLINK-5012 [+]",57187,"SVYATOBOR 1 (RS60S) [+]",4
29522,"DMSP 5D-3 F17 (USA 191) [+]",57957,"METEOR 1-17 DEB [-]",3
52713,"COSMOS 2556 [+]",16326,"COSMOS 1707 [?]",3
53248,"STARLINK-4135 [+]",21836,"DMSP 5D-2 F11 DEB [-]",3
42901,"VENUS [+]",53656,"STARLINK-4466 [+]",3
47446,"KEPLER-12 (BOBA) [+]",56189,"IT'S ABOUT TIME [+]",3
54372,"YAOGAN-36 03A [+]",43835,"OBJECT E [-]",3
56934,"GEISAT PRECURSOR [+]",16881,"COSMOS 1766 [?]",3
51769,"STARLINK-3621 [+]",57326,"OBJECT BA [-]",3
45394,"STARLINK-1292 [+]",47607,"STARLINK-2025 [P]",3
55844,"HORUS 2 [+]",24163,"PEGASUS DEB [-]",3
43010,"FENGYUN 3D [+]",13804,"COSMOS 1275 DEB [-]",3
45769,"STARLINK-1459 [+]",46496,"ICEYE-X7 [+]",3
45782,"STARLINK-1498 [P]",55100,"SPACEBEE-158 [+]",3
53245,"STARLINK-4124 [+]",35066,"COSMOS 2251 DEB [-]",3
46362,"STARLINK-1726 [+]",43788,"FLOCK 3S-3 [-]",3
55035,"FLOCK 4Y-3 [+]",55079,"FLOCK 4Y-13 [+]",3
56858,"OBJECT N [+]",16719,"COSMOS 1743 [?]",3
47541,"HIBER-4 [+]",15889,"COSMOS 1666 [?]",3
55941,"STARLINK-5914 [+]",43779,"OBJECT X [-]",3
