OBJECT_NAME_1,OBJECT_NAME_2,MAX_PROB,OperationalStatus_1,OperationalStatus_2
"STARLINK-1142 [+]","STARLINK-2025 [P]",0.00001222,+],P]
"STARLINK-3615 [+]","STARLINK-5231 [P]",0.0000122,+],P]
"STARLINK-5194 [+]","STARLINK-5080 [P]",0.00001216,+],P]
"STARLINK-3589 [+]","STARLINK-5231 [P]",0.00001209,+],P]
"STARLINK-5004 [+]","STARLINK-5231 [P]",0.00001205,+],P]
"STARLINK-1694 [+]","STARLINK-5080 [P]",0.00001202,+],P]
"STARLINK-4497 [+]","STARLINK-5080 [P]",0.00001197,+],P]
"STARLINK-1616 [+]","STARLINK-5080 [P]",0.00001146,+],P]
"STARLINK-4726 [+]","STARLINK-5231 [P]",0.00001144,+],P]
"STARLINK-2429 [+]","STARLINK-5080 [P]",0.00001119,+],P]
"STARLINK-3930 [+]","STARLINK-5231 [P]",0.00001093,+],P]
"XIAOXIANG 1-07 [+]","STARLINK-30108 [P]",0.00001091,+],P]
"STARLINK-3589 [+]","STARLINK-5231 [P]",0.00001067,+],P]
"STARLINK-1505 [+]","STARLINK-2025 [P]",0.00001066,+],P]
"STARLINK-1993 [+]","STARLINK-5080 [P]",0.00001062,+],P]
"STARLINK-3121 [+]","STARLINK-5231 [P]",0.00001053,+],P]
"STARLINK-3708 [+]","STARLINK-5231 [P]",0.000009869,+],P]
"STARLINK-4484 [+]","STARLINK-5231 [P]",0.000009833,+],P]
"STARLINK-4183 [+]","STARLINK-5080 [P]",0.000009725,+],P]
"STARLINK-1694 [+]","STARLINK-2025 [P]",0.000009722,+],P]
"STARLINK-1693 [+]","STARLINK-2025 [P]",0.000009626,+],P]
"STARLINK-3976 [+]","STARLINK-5231 [P]",0.000009542,+],P]
"STARLINK-4052 [+]","STARLINK-5231 [P]",0.00000927,+],P]
"STARLINK-2601 [+]","STARLINK-5080 [P]",0.000009191,+],P]
"YAOGAN 6 [+]","STARLINK-2148 [P]",0.00000898,+],P]
"YAOGAN-30 M [+]","ONEWEB-0050 [P]",0.000008597,+],P]
"STARLINK-5143 [+]","STARLINK-5080 [P]",0.000008539,+],P]
"XM-5 [+]","VIASAT-1 [P]",0.000008522,+],P]
"STARLINK-3804 [+]","STARLINK-5231 [P]",0.000008342,+],P]
"STARLINK-3247 [+]","STARLINK-5231 [P]",0.000008297,+],P]
"YAOGAN-28 [+]","STARLINK-1492 [P]",0.000007877,+],P]
"STARLINK-2700 [+]","STARLINK-5231 [P]",0.00000773,+],P]
"STARLINK-1694 [+]","STARLINK-2025 [P]",0.00000765,+],P]
"ANGELS [+]","STARLINK-1927 [P]",0.000007616,+],P]
"ICEYE-X14 [+]","STARLINK-5437 [P]",0.000007598,+],P]
"STARLINK-3751 [+]","STARLINK-5080 [P]",0.000007546,+],P]
"SKYSAT-C7 [+]","STARLINK-1509 [P]",0.000007476,+],P]
"WORLDVIEW-1 (WV-1) [+]","STARLINK-1487 [P]",0.000007266,+],P]
"STARLINK-3825 [+]","STARLINK-5080 [P]",0.000007235,+],P]
"STARLINK-3751 [+]","STARLINK-5080 [P]",0.000007222,+],P]
"GENESIS 2 [+]","STARLINK-1486 [P]",0.000007195,+],P]
"GAOFEN-8 [+]","STARLINK-1486 [P]",0.000006894,+],P]
"STARLINK-4475 [+]","STARLINK-5080 [P]",0.000006767,+],P]
"JILIN-1 09 [+]","STARLINK-3763 [P]",0.00000656,+],P]
"STARLINK-2016 [+]","STARLINK-5080 [P]",0.000006337,+],P]
"DAMPE [+]","STARLINK-1135 [P]",0.000006078,+],P]
"KANOPUS-V-IK [+]","STARLINK-1088 [P]",0.000005592,+],P]
"TIANHUI 2-02A [+]","OTTER PUP [P]",0.000005392,+],P]
"LEMUR-2-GREGROBINSON [+]","STARLINK-2300 [P]",0.00000503,+],P]
"TIANHUI 2-02B [+]","OTTER PUP [P]",0.000005003,+],P]
"KANOPUS-V-IK [+]","STARLINK-1088 [P]",0.000004746,+],P]
"XW-2D [+]","STARLINK-2148 [P]",0.000004638,+],P]
"NETSAT-2 [+]","STARLINK-5080 [P]",0.000004456,+],P]
"ZHUHAI-1 01 (CAS-4A) [+]","STARLINK-1102 [P]",0.000004404,+],P]
"KSU-CUBESAT [+]","STARLINK-4749 [P]",0.00000438,+],P]
"FLOCK 4V-18 [+]","STARLINK-3787 [P]",0.000003932,+],P]
"LKW-2 [+]","STARLINK-1408 [P]",0.000003795,+],P]
"AEROCUBE 4.5B [+]","STARLINK-1748 [P]",0.000003752,+],P]
"YAOGAN-35 C [+]","STARLINK-4301 [P]",0.00000352,+],P]
"TIANHUI 2-02B [+]","STARLINK-30087 [P]",0.000003438,+],P]
"LEMUR-2-WANLI [+]","STARLINK-1290 [P]",0.000003387,+],P]
"GPM-CORE [+]","STARLINK-1110 [P]",0.000003035,+],P]
"LEMUR-2-DAISY-HARPER [+]","STARLINK-3763 [P]",0.00000297,+],P]
"ORBICRAFT-ZORKY [+]","STARLINK-3815 [P]",0.000002893,+],P]
"LKW-2 [+]","STARLINK-1408 [P]",0.000002701,+],P]
"NSL-1 [+]","STARLINK-3627 [P]",0.000002662,+],P]
"SUPERVIEW-1 03 [+]","STARLINK-3627 [P]",0.000002602,+],P]
"SINE (SINDHUNETRA) [+]","STARLINK-3531 [P]",0.00000249,+],P]
"KOMPSAT-3A [+]","STARLINK-4749 [P]",0.000002345,+],P]
"SAUDISAT 5B [+]","STARLINK-1396 [P]",0.000002225,+],P]
"MOMENTUS-X1 [+]","STARLINK-1096 [P]",0.000002203,+],P]
"FLOCK 4S-21 [+]","STARLINK-2148 [P]",0.000002023,+],P]
"YUNYAO-1 06 [+]","STARLINK-30337 [P]",0.000001853,+],P]
"THEOS [+]","ONEWEB-0455 [P]",0.000001274,+],P]
"STARLINK-6357 [+]","STARLINK-6042 [P]",0.0000009909,+],P]
"KEPLER-4 (ANTILLES) [+]","STARLINK-30087 [P]",0.0000009823,+],P]
"STARLINK-6072 [+]","STARLINK-6042 [P]",0.000000803,+],P]
"XM-5 [+]","VIASAT-1 [P]",0.0000007499,+],P]
"XM-5 [+]","VIASAT-1 [P]",0.0000004517,+],P]
"ETV-A1 [+]","STARLINK-30087 [P]",0.0000002136,+],P]
