NORAD_CAT_ID_1,OBJECT_NAME_1,NORAD_CAT_ID_2,OBJECT_NAME_2,MAX_PROB,DILUTION
43928,"IRIDIUM 175 [+]",37547,"COSMOS 2251 DEB [-]",0.0000005149,0.872
56908,"STARLINK-6186 [+]",19960,"COSMOS 375 DEB [-]",0.0000004533,0.854
52467,"STARLINK-3873 [+]",56743,"NEXTSAT-2 [+]",0.00001144,0.634
47469,"FLOCK 4S-33 [+]",51035,"FLOCK 4X-17 [+]",0.0000001143,0.587
56224,"REVELA [+]",35273,"CZ-2D DEB [-]",0.0000008774,0.741
51824,"OBJECT A [+]",55976,"TIANMU-1 06 [+]",0.00000162,0.432
48294,"STARLINK-2533 [+]",28809,"KIRARI (OICETS) [?]",0.00001128,0.693
53458,"YUNYAO-1 08 [+]",16611,"COSMOS 1733 [?]",0.000002835,0.506
43807,"EUCROPIS [+]",56898,"STARLINK-6205 [+]",0.000000552,0.705
52422,"BRO-6 [+]",57673,"STARLINK-30316 [+]",0.000001439,0.63
44852,"TYVAK-0092 [+]",58009,"STARLINK-30486 [+]",0.0000007921,0.596
56339,"STARLINK-5552 [+]",44628,"ICON [-]",0.000006722,0.696
57811,"STARLINK-30379 [+]",318,"THOR ABLESTAR DEB [-]",0.0000008363,0.573
48914,"ICEYE-X12 [+]",57675,"STARLINK-30317 [+]",0.000001658,0.483
41169,"TELEOS-1 [+]",52749,"CARCARA 1 (ICEYE-X18) [+]",0.0000006726,0.691
41921,"IRIDIUM 105 [+]",34985,"IRIDIUM 33 DEB [-]",0.000001313,0.474
43792,"ESEO [+]",43819,"EXCITE [+]",0.000001599,0.391
52376,"STARLINK-3767 [+]",57019,"OBJECT R [+]",0.000003903,0.778
57778,"STARLINK-30385 [+]",26561,"HETE-2 [-]",0.00000788,0.289
57627,"HEAD-3B [+]",12427,"DELTA 1 DEB [-]",0.000001069,0.636
53757,"CENTISPACE-1 S3 [+]",31038,"FENGYUN 1C DEB [-]",0.0000005825,0.692
29522,"DMSP 5D-3 F17 (USA 191) [+]",30718,"FENGYUN 1C DEB [-]",0.000007523,0.19
55924,"STARLINK-5849 [+]",20576,"ATLAS 28E DEB [-]",0.000006797,0.622
44529,"BNU-1 (JINGSHI 1) [+]",37908,"FENGYUN 1C DEB [-]",0.0000009303,0.692
47523,"FLOCK 4S-10 [+]",56494,"STARLINK-5530 [+]",0.0000004965,0.562
54023,"OTB-3-GAZELLE [+]",26351,"CZ-4B DEB [-]",0.0000006183,0.631
57485,"ARCADE [+]",28812,"SL-24 DEB [-]",0.0000005624,0.783
50989,"TEVEL-8 [+]",56487,"STARLINK-6196 [+]",0.000001452,0.458
48641,"STARLINK-2754 [+]",87245,"UNKNOWN [-]",0.00002589,0.315
53950,"OBJECT C [+]",49322,"OBJECT H [?]",0.00002029,0.181
53986,"STARLINK-5119 [+]",57208,"SITRO-AIS 11 (SHEFFER) [+]",0.00001081,0.499
55425,"STARLINK-5615 [+]",13479,"COSMOS 1275 DEB [-]",0.000007535,0.546
48117,"STARLINK-2455 [+]",57038,"OBJECT AL [+]",0.000005104,0.699
53074,"STARLINK-4310 [+]",35573,"CZ-4B DEB [-]",0.000007644,0.608
48212,"ONEWEB-0179 [+]",40113,"CZ-4C DEB [-]",0.00003244,0.231
57873,"STARLINK-30445 [+]",34292,"COSMOS 2251 DEB [-]",0.000000576,0.825
44391,"NSL-1 [+]",55079,"FLOCK 4Y-13 [+]",0.0000002188,0.807
56153,"OBJECT A [+]",56156,"OBJECT D [+]",0.0003709,0.026
41888,"CYGFM08 [X]",52322,"SUPERVIEW NEO-1 02 [+]",0.0000005775,0.873
56153,"OBJECT A [+]",56154,"OBJECT B [+]",0.00004549,0.074
56154,"OBJECT B [+]",56156,"OBJECT D [+]",0.0001785,0.037
42841,"LEMUR-2-PETERG [+]",53083,"STARLINK-4251 [+]",0.000005027,0.666
44422,"COSMOS 2536 [+]",53841,"STARLINK-4750 [+]",0.000007769,0.805
56024,"STARLINK-5772 [+]",3558,"COSMOS 252 DEB [-]",0.000005673,0.652
54746,"YAOGAN-36 04A [+]",33929,"COSMOS 2251 DEB [-]",0.000002002,0.428
44878,"OPS-SAT [+]",58032,"STARLINK-30561 [+]",0.00000053,0.768
44390,"ICEYE-X4 [+]",45686,"STARLINK-1404 [+]",0.000004167,0.755
46817,"FLOCK 4E'-5 [+]",58229,"OBJECT WC [-]",0.0000002278,0.784
43808,"POLAR SCOUT YUKON [+]",54835,"STARLINK-5389 [+]",0.00001314,0.46
46488,"GONETS-M 19 [+]",11302,"COSMOS 1087 [?]",0.0000005775,0.751
44718,"STARLINK-1012 [+]",43788,"FLOCK 3S-3 [-]",0.00001143,0.417
58199,"TIANHUI 5A [+]",58201,"TIANHUI 5B [+]",0.000005143,0.353
53985,"STARLINK-5147 [+]",43431,"CZ-4B DEB [-]",0.00003155,0.279
